stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
13227,3227,CENTRAL AV @ SQUIRE ST,,39.66852,-84.259943,,,,,0
13228,3228,MAIN ST @ RICHARD ST,,39.651075,-84.283071,,,,,0
13229,3229,MAIN ST @ KERCHER ST,,39.648013,-84.28395,,,,,0
13230,3230,MAIN ST @ FERRY ST,,39.643994,-84.288573,,,,,0
13231,3231,RIVERVIEW AV @ LINDEN AV,,39.640396,-84.294789,,,,,0
13232,3232,RIVERVIEW AV @ CURTIS DR,,39.634631,-84.298693,,,,,0
13233,3233,RIVERVIEW AV @ LOWER MIAMISBURG RD,,39.632369,-84.299577,,,,,0
13234,3234,LOWER MIAMISBURG RD @ S UNION RD,,39.631337,-84.30909,,,,,0
13235,3235,LOWER MIAMISBURG RD @ S UNION RD,,39.629131,-84.310912,,,,,0
13236,3236,LOWER MIAMISBURG RD @ JAMAICA RD,,39.628757,-84.327626,,,,,0
13237,3237,LOWER MIAMISBURG RD @ BUTTER RD,E Market St & N Butter St,39.628686,-84.347501,,,,,0
13238,3238,MARKET ST @ HILLCREST AV,,39.628384,-84.350894,,,,,0
13239,3239,LOWER MIAMISBURG RD @ CATHERINE,,39.626909,-84.353335,,,,,0
13240,3240,MARKET ST @ POLYANNA AV,E Market St & Hwy 725,39.625292,-84.360289,,,,,0
13241,3241,MARKET ST @ COLEMAN RD,,39.62521,-84.362035,,,,,0
13242,3242,MARKET ST @ WATER ST,,39.625184,-84.365662,,,,,0
13243,3243,MARKET ST @ CHERRY ST,,39.625073,-84.368697,,,,,0
13244,3244,MARKET ST @ MAIN ST,,39.625067,-84.370138,,,,,0
13245,3245,MAIN ST @ CENTER ST,N Main St & W Center St,39.626232,-84.370415,,,,,0
13246,3246,MAIN ST @ COMSTOCK ST,,39.629323,-84.370665,,,,,0
13247,3247,LINDELL DR @ N MAIN ST,Lindell Dr & N Main St,39.63385,-84.371529,,,,,0
13248,3248,LINDELL DR @ SUE CT,Lindell Dr & Sue Ct,39.633873,-84.373128,,,,,0
13250,3250,SCOTT CT @ LINDELL DR,,39.635235,-84.37775,,,,,0
13251,3251,SCOTT @ FARMERSVILLE GERMANTOWN PK,,39.63515,-84.379258,,,,,0
13252,3252,CENTER ST @ ELM ST,,39.679515,-84.423823,,,,,0
13253,3253,CENTER ST @ BROADWAY ST,,39.679526,-84.425109,,,,,0
13254,3254,JACKSON ST @ WALNUT ST,,39.680132,-84.42884,,,,,0
13255,3255,WALNUT ST @ TAYLOR ST,W Walnut St & N Taylor St,39.680158,-84.427817,,,,,0
13256,3256,WALNUT ST @ BROADWAY ST,E Walnut St & N Broadway St,39.680228,-84.425077,,,,,0
13257,3257,ELM ST @ HEMPLE RD,,39.682463,-84.424161,,,,,0
13258,3258,HEMPLE RD @ CAROLYN DR,Hemple Rd & Carolyn Ln,39.683116,-84.420067,,,,,0
13259,3259,CAROLYN DR @ DEAN DR,Carolyn Ln & Dean Dr,39.683973,-84.419836,,,,,0
13261,3261,WALNUT ST @ BROADWAY,,39.68048,-84.425154,,,,,0
13262,3262,WALNUT ST @ TAYLOR ST,,39.680406,-84.427607,,,,,0
13263,3263,WALNUT ST @ JACKSON ST,,39.680362,-84.428656,,,,,0
13264,3264,JACKSON ST @ CENTER ST,Jackson St & W Center St,39.679458,-84.429037,,,,,0
13265,3265,CENTER ST @ MAIN ST,W Center St & N Main St,39.679215,-84.426577,,,,,0
13266,3266,CENTER ST @ BROADWAY ST,E Center St & N Broadway St,39.679282,-84.425119,,,,,0
13267,3267,CENTER ST @ ELM ST,E Center St & S Elm St,39.679293,-84.424154,,,,,0
13269,3269,SCOTT @ FARMERSVILLE GERMANTOWN PK,,39.635344,-84.377943,,,,,0
